parts_unblocked,manufacturer,series,datasheet_url,example_parts
1,TDK,S238,https://product.tdk.cn/system/files/dam/doc/product/protection/current/ntc-limiter/data_sheet/50/db/icl_16/s238.pdf,B57238S0160M051
1,Vishay Ametherm,SL08,https://www.ametherm.com/datasheetspdf/SL0816002.pdf,SL0816002
1,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1216003.pdf,SL1216003
1,Vishay Ametherm,SL12,https://www.digikey.com/en/products/detail/vishay-ametherm/SL1216003A/28716465,SL1216003A
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL1516004.pdf,SL1516004
1,Vishay Ametherm,SL18,https://www.ametherm.com/datasheetspdf/SL1816004.pdf,SL1816004
1,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2216004.pdf,SL2216004
1,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2216004-B.pdf,SL2216004B
1,Vishay Ametherm,SL22,https://www.ametherm.com/datasheets/sl2216005,SL2216005
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/371/AS3220010.pdf,AS3220010
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/371/AS3520010.pdf,AS3520010
1,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS3520010.pdf,MS3520010
1,Vishay Ametherm,SL03,https://www.ametherm.com/datasheetspdf/SL0320001.pdf,SL0320001
1,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL1020002.pdf,SL1020002
1,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2220006.pdf,SL2220006
1,Amphenol Advanced Sensors (Thermometrics),-,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7607/PdfFile_112011.pdf,CL-210B
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL1530004.pdf,SL1530004
1,TDK,S234,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2240/B57234S0400M000.pdf,B57234S0400M000
1,TDK,S464,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2551/B57464S0400M000.pdf,B57464S0400M000
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5752/AS35%2040010.pdf,AS3540010
1,Vishay Ametherm,SL08,https://www.ametherm.com/datasheetspdf/SL0840002.pdf,SL0840002
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL1540002.pdf,SL1540002
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/371/AS3250006.pdf,AS3250006
1,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheets/ms3250006l,MS3250006L
1,Vishay Ametherm,SL03,https://www.ametherm.com/datasheetspdf/SL0350001.pdf,SL0350001
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL1550003.pdf,SL1550003
1,Vishay Ametherm,SL05,https://www.ametherm.com/datasheetspdf/SL0560001.pdf,SL0560001
